,stop_loss,take_profit,ema_filter,atr_max_mult,Total Return,Final Equity,Error
0,25,50,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
1,25,50,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
2,25,50,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
3,25,50,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
4,25,50,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
5,25,50,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
6,25,50,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
7,25,50,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
8,25,50,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
9,25,50,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
10,25,50,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
11,25,50,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
12,25,50,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
13,25,50,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
14,25,50,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
15,25,50,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
16,25,100,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
17,25,100,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
18,25,100,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
19,25,100,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
20,25,100,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
21,25,100,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
22,25,100,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
23,25,100,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
24,25,100,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
25,25,100,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
26,25,100,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
27,25,100,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
28,25,100,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
29,25,100,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
30,25,100,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
31,25,100,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
32,25,150,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
33,25,150,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
34,25,150,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
35,25,150,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
36,25,150,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
37,25,150,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
38,25,150,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
39,25,150,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
40,25,150,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
41,25,150,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
42,25,150,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
43,25,150,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
44,25,150,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
