,train_start,train_end,test_end,params,train_return,test_return
0,2010-06-02 22:15:00,2010-08-31 22:15:00,2010-09-30 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.12874459606335042,-0.0004150000000000542
1,2010-07-02 22:15:00,2010-09-30 22:15:00,2010-10-30 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.0965164810387309,-0.0004750000000000032
2,2010-08-01 22:15:00,2010-10-30 22:15:00,2010-11-29 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.11347270136339604,-0.0001100000000000545
3,2010-08-31 22:15:00,2010-11-29 22:15:00,2010-12-29 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.09654241273816133,-0.00046749999999995406
4,2010-09-30 22:15:00,2010-12-29 22:15:00,2011-01-28 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.10658423667973027,-0.0003950000000000342
5,2010-10-30 22:15:00,2011-01-28 22:15:00,2011-02-27 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.07867705751724485,-0.0006675000000000431
6,2010-11-29 22:15:00,2011-02-27 22:15:00,2011-03-29 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.08648289920001906,-0.0005675000000000541
7,2010-12-29 22:15:00,2011-03-29 22:15:00,2011-04-28 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.0784152658857119,-0.00029000000000001247
8,2011-01-28 22:15:00,2011-04-28 22:15:00,2011-05-28 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.0796334532917985,-0.0004999999999999449
9,2011-02-27 22:15:00,2011-05-28 22:15:00,2011-06-27 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.09781913351253069,-0.0009350000000000191
10,2011-03-29 22:15:00,2011-06-27 22:15:00,2011-07-27 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.10363293814705277,-0.0005249999999999977
11,2011-04-28 22:15:00,2011-07-27 22:15:00,2011-08-26 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.1221062412409486,-0.0008175000000000265
12,2011-05-28 22:15:00,2011-08-26 22:15:00,2011-09-25 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.08296726041677771,-4.7499999999978115e-05
13,2011-06-27 22:15:00,2011-09-25 22:15:00,2011-10-25 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.05962333978889267,-0.0012400000000000189
